t3_um,radius_um,pressure_pa,capacitance_fF
2.0,400.0,1700.0,637.69
2.0,400.0,1800.0,648.95
2.0,400.0,1900.0,660.39
2.0,400.0,2000.0,672.03
2.0,400.0,2100.0,683.9
2.0,400.0,2200.0,696.03
2.0,400.0,2300.0,708.45
2.0,400.0,2400.0,721.18
2.0,400.0,2500.0,734.27
2.0,400.0,2600.0,747.75
2.0,400.0,2700.0,761.65
2.0,400.0,2800.0,776.03
2.0,400.0,2900.0,790.92
2.0,400.0,3000.0,806.39
2.0,400.0,3100.0,822.49
2.0,400.0,3200.0,839.29
2.0,400.0,3300.0,856.87
2.0,400.0,3400.0,875.32
2.0,400.0,3500.0,894.74
2.0,400.0,3600.0,915.24
2.0,400.0,3700.0,936.98
2.0,400.0,3800.0,960.12
2.0,400.0,3900.0,984.86
2.0,400.0,4000.0,1011.5
2.0,400.0,4100.0,1043.8
2.0,400.0,4200.0,1058.6
2.0,400.0,4300.0,1073.8
2.0,400.0,4400.0,1089.5
2.0,400.0,4500.0,1105.5
2.0,400.0,4600.0,1122.1
2.0,400.0,4700.0,1138.0
2.0,400.0,4800.0,1154.0
2.0,400.0,4900.0,1169.0
2.0,400.0,5000.0,1184.6
2.0,400.0,5100.0,1198.7
2.0,400.0,5200.0,1213.2
2.0,400.0,5300.0,1227.2
2.0,400.0,5400.0,1241.2
2.0,400.0,5500.0,1254.6
2.0,400.0,5600.0,1268.6
2.0,400.0,5700.0,1281.0
2.0,400.0,5800.0,1293.8
2.0,400.0,5900.0,1306.5
2.0,400.0,6000.0,1318.7
2.0,400.0,6100.0,1331.1
2.0,400.0,6200.0,1342.7
2.0,400.0,6300.0,1354.6
2.0,400.0,6400.0,1366.0
2.0,400.0,6500.0,1377.7
2.0,400.0,6600.0,1388.5
2.0,400.0,6700.0,1399.5
2.0,400.0,6800.0,1410.3
2.0,400.0,6900.0,1421.0
2.0,400.0,7000.0,1431.5
2.0,400.0,7100.0,1441.7
2.0,400.0,7200.0,1451.9
2.0,400.0,7300.0,1462.0
2.0,400.0,7400.0,1471.8
2.0,400.0,7500.0,1481.5
2.0,400.0,7600.0,1491.2
2.0,400.0,7700.0,1500.5
2.0,400.0,7800.0,1510.1
2.0,400.0,7900.0,1519.0
2.0,400.0,8000.0,1528.1
2.0,400.0,8100.0,1537.0
2.0,400.0,8200.0,1545.8
