t3_um,radius_um,pressure_pa,capacitance_fF
2.000,350.0,8200.0,822.161796
2.000,350.0,8300.0,829.146812
2.000,350.0,8400.0,836.027498
2.000,350.0,8500.0,842.806677
2.000,350.0,8600.0,849.487067
2.000,350.0,8700.0,856.071280
2.000,350.0,8800.0,862.561827
2.000,350.0,8900.0,868.961128
2.000,350.0,9000.0,875.271511
2.000,350.0,9100.0,881.495220
2.000,350.0,9200.0,887.634417
2.000,350.0,9300.0,893.691187
2.000,350.0,9400.0,899.667540
2.000,350.0,9500.0,905.565417
2.000,350.0,9600.0,911.386692
2.000,350.0,9700.0,917.133173
2.000,350.0,9800.0,922.806607
2.000,350.0,9900.0,928.408683
2.000,350.0,10000.0,933.941035
2.000,350.0,10100.0,939.405240
2.000,350.0,10200.0,944.802827
2.000,350.0,10300.0,950.135274
2.000,350.0,10400.0,955.404011
2.000,350.0,10500.0,960.610425
2.000,350.0,10600.0,965.755858
2.000,350.0,10700.0,970.841611
2.000,350.0,10800.0,975.868945
2.000,350.0,10900.0,980.839082
2.000,350.0,11000.0,985.753208
2.000,350.0,11100.0,990.612474
2.000,350.0,11200.0,995.417995
2.000,350.0,11300.0,1000.170856
2.000,350.0,11400.0,1004.872108
2.000,350.0,11500.0,1009.522774
2.000,350.0,11600.0,1014.123845
2.000,350.0,11700.0,1018.676287
2.000,350.0,11800.0,1023.181036
2.000,350.0,11900.0,1027.639006
2.000,350.0,12000.0,1032.051082
2.000,350.0,12100.0,1036.418125
2.000,350.0,12200.0,1040.740976
2.000,350.0,12300.0,1045.020450
2.000,350.0,12400.0,1049.257343
2.000,350.0,12500.0,1053.452427
2.000,350.0,12600.0,1057.606455
2.000,350.0,12700.0,1061.720163
2.000,350.0,12800.0,1065.794263
2.000,350.0,12900.0,1069.829454
2.000,350.0,13000.0,1073.826414
2.000,350.0,13100.0,1077.785804
2.000,350.0,13200.0,1081.708270
2.000,350.0,13300.0,1085.594441
2.000,350.0,13400.0,1089.444931
2.000,350.0,13500.0,1093.260338
2.000,350.0,13600.0,1097.041248
2.000,350.0,13700.0,1100.788230
2.000,350.0,13800.0,1104.501840
2.000,350.0,13900.0,1108.182623
2.000,350.0,14000.0,1111.831109
2.000,400.0,0.0,409.610052
2.000,400.0,100.0,430.114943
2.000,400.0,200.0,446.763339
2.000,400.0,300.0,460.317475
2.000,400.0,400.0,472.066534
2.000,400.0,500.0,482.701327
2.000,400.0,600.0,492.604887
2.000,400.0,700.0,502.009847
2.000,400.0,800.0,511.069202
2.000,400.0,900.0,519.890404
2.000,400.0,1000.0,528.553211
2.000,400.0,1100.0,537.119749
2.000,400.0,1200.0,545.640560
2.000,400.0,1300.0,554.158429
2.000,400.0,1400.0,562.710950
2.000,400.0,1500.0,571.332317
2.000,400.0,1600.0,580.054650
2.000,400.0,1700.0,588.909030
2.000,400.0,1800.0,597.926350
2.000,400.0,1900.0,607.138076
2.000,400.0,2000.0,616.576960
2.000,400.0,2100.0,626.277757
2.000,400.0,2200.0,636.277995
2.000,400.0,2300.0,646.618831
2.000,400.0,2400.0,657.346054
2.000,400.0,2500.0,668.511282
2.000,400.0,2600.0,680.173452
2.000,400.0,2700.0,692.400694
2.000,400.0,2800.0,705.272750
2.000,400.0,2900.0,718.884162
2.000,400.0,3000.0,733.348548
2.000,400.0,3100.0,748.804468
2.000,400.0,3200.0,765.423659
2.000,400.0,3300.0,783.422907
2.000,400.0,3400.0,803.081669
2.000,400.0,3500.0,824.769172
2.000,400.0,3600.0,847.695887
2.000,400.0,3700.0,869.868917
2.000,400.0,3800.0,891.296216
2.000,400.0,3900.0,912.022478
2.000,400.0,4000.0,932.088608
2.000,400.0,4100.0,951.532143
2.000,400.0,4200.0,970.387599
2.000,400.0,4300.0,988.686784
2.000,400.0,4400.0,1006.459071
2.000,400.0,4500.0,1023.731634
2.000,400.0,4600.0,1040.529660
2.000,400.0,4700.0,1056.876533
2.000,400.0,4800.0,1072.794004
2.000,400.0,4900.0,1088.302331
2.000,400.0,5000.0,1103.420417
2.000,400.0,5100.0,1118.165920
2.000,400.0,5200.0,1132.555363
2.000,400.0,5300.0,1146.604224
2.000,400.0,5400.0,1160.327026
2.000,400.0,5500.0,1173.737405
2.000,400.0,5600.0,1186.848189
2.000,400.0,5700.0,1199.671450
2.000,400.0,5800.0,1212.218571
2.000,400.0,5900.0,1224.500288
2.000,400.0,6000.0,1236.526742
2.000,400.0,6100.0,1248.307522
2.000,400.0,6200.0,1259.851701
2.000,400.0,6300.0,1271.167873
2.000,400.0,6400.0,1282.264186
2.000,400.0,6500.0,1293.148371
2.000,400.0,6600.0,1303.827772
2.000,400.0,6700.0,1314.309367
2.000,400.0,6800.0,1324.599794
2.000,400.0,6900.0,1334.705374
2.000,400.0,7000.0,1344.632125
2.000,400.0,7100.0,1354.385788
2.000,400.0,7200.0,1363.971838
2.000,400.0,7300.0,1373.395501
2.000,400.0,7400.0,1382.661771
2.000,400.0,7500.0,1391.775421
2.000,400.0,7600.0,1400.741016
2.000,400.0,7700.0,1409.562927
2.000,400.0,7800.0,1418.245336
2.000,400.0,7900.0,1426.792255
2.000,400.0,8000.0,1435.207527
2.000,400.0,8100.0,1443.494839
2.000,400.0,8200.0,1451.657730
2.000,400.0,8300.0,1459.699599
2.000,400.0,8400.0,1467.623711
2.000,400.0,8500.0,1475.433205
2.000,400.0,8600.0,1483.131098
2.000,400.0,8700.0,1490.720295
2.000,400.0,8800.0,1498.203590
2.000,400.0,8900.0,1505.583677
2.000,400.0,9000.0,1512.863147
2.000,400.0,9100.0,1520.044502
2.000,400.0,9200.0,1527.130151
2.000,400.0,9300.0,1534.122419
2.000,400.0,9400.0,1541.023551
2.000,400.0,9500.0,1547.835712
2.000,400.0,9600.0,1554.560995
2.000,400.0,9700.0,1561.201421
2.000,400.0,9800.0,1567.758943
2.000,400.0,9900.0,1574.235451
2.000,400.0,10000.0,1580.632770
2.000,400.0,10100.0,1586.952668
2.000,400.0,10200.0,1593.196857
2.000,400.0,10300.0,1599.366991
2.000,400.0,10400.0,1605.464675
2.000,400.0,10500.0,1611.491463
2.000,400.0,10600.0,1617.448861
2.000,400.0,10700.0,1623.338327
2.000,400.0,10800.0,1629.161278
2.000,400.0,10900.0,1634.919086
2.000,400.0,11000.0,1640.613083
2.000,400.0,11100.0,1646.244562
2.000,400.0,11200.0,1651.814778
2.000,400.0,11300.0,1657.324950
2.000,400.0,11400.0,1662.776260
2.000,400.0,11500.0,1668.169859
2.000,400.0,11600.0,1673.506865
2.000,400.0,11700.0,1678.788363
2.000,400.0,11800.0,1684.015411
2.000,400.0,11900.0,1689.189034
2.000,400.0,12000.0,1694.310232
2.000,400.0,12100.0,1699.379978
2.000,400.0,12200.0,1704.399217
2.000,400.0,12300.0,1709.368870
2.000,400.0,12400.0,1714.289835
2.000,400.0,12500.0,1719.162985
2.000,400.0,12600.0,1723.989170
2.000,400.0,12700.0,1728.769219
2.000,400.0,12800.0,1733.503940
2.000,400.0,12900.0,1738.194119
2.000,400.0,13000.0,1742.840526
2.000,400.0,13100.0,1747.443908
2.000,400.0,13200.0,1752.004994
2.000,400.0,13300.0,1756.524498
2.000,400.0,13400.0,1761.003113
2.000,400.0,13500.0,1765.441518
2.000,400.0,13600.0,1769.840374
2.000,400.0,13700.0,1774.200327
2.000,400.0,13800.0,1778.522008
2.000,400.0,13900.0,1782.806033
2.000,400.0,14000.0,1787.053002
2.000,450.0,0.0,518.412722
2.000,450.0,100.0,557.636720
2.000,450.0,200.0,585.765534
2.000,450.0,300.0,608.384057
2.000,450.0,400.0,628.363873
2.000,450.0,500.0,646.923985
2.000,450.0,600.0,664.701878
2.000,450.0,700.0,682.088284
2.000,450.0,800.0,699.354525
2.000,450.0,900.0,716.710069
2.000,450.0,1000.0,734.332525
2.000,450.0,1100.0,752.385517
2.000,450.0,1200.0,771.031032
2.000,450.0,1300.0,790.439491
2.000,450.0,1400.0,810.799515
2.000,450.0,1500.0,832.328922
2.000,450.0,1600.0,855.288635
2.000,450.0,1700.0,880.001774
2.000,450.0,1800.0,906.881578
2.000,450.0,1900.0,936.474467
2.000,450.0,2000.0,969.530159
2.000,450.0,2100.0,1007.122864
2.000,450.0,2200.0,1050.860849
2.000,450.0,2300.0,1096.545836
2.000,450.0,2400.0,1139.783138
2.000,450.0,2500.0,1180.802750
2.000,450.0,2600.0,1219.804588
2.000,450.0,2700.0,1256.963448
2.000,450.0,2800.0,1292.432984
2.000,450.0,2900.0,1326.348936
2.000,450.0,3000.0,1358.831768
2.000,450.0,3100.0,1389.988845
2.000,450.0,3200.0,1419.916237
2.000,450.0,3300.0,1448.700225
2.000,450.0,3400.0,1476.418573
2.000,450.0,3500.0,1503.141587
2.000,450.0,3600.0,1528.933037
2.000,450.0,3700.0,1553.850919
2.000,450.0,3800.0,1577.948131
2.000,450.0,3900.0,1601.273040
2.000,450.0,4000.0,1623.869976
2.000,450.0,4100.0,1645.779667
2.000,450.0,4200.0,1667.039610
2.000,450.0,4300.0,1687.684401
2.000,450.0,4400.0,1707.746018
2.000,450.0,4500.0,1727.254082
2.000,450.0,4600.0,1746.236072
2.000,450.0,4700.0,1764.717530
2.000,450.0,4800.0,1782.722232
2.000,450.0,4900.0,1800.272345
2.000,450.0,5000.0,1817.388571
2.000,450.0,5100.0,1834.090265
2.000,450.0,5200.0,1850.395554
2.000,450.0,5300.0,1866.321433
2.000,450.0,5400.0,1881.883856
2.000,450.0,5500.0,1897.097822
2.000,450.0,5600.0,1911.977444
2.000,450.0,5700.0,1926.536019
2.000,450.0,5800.0,1940.786087
2.000,450.0,5900.0,1954.739489
2.000,450.0,6000.0,1968.407416
2.000,450.0,6100.0,1981.800455
2.000,450.0,6200.0,1994.928629
2.000,450.0,6300.0,2007.801440
2.000,450.0,6400.0,2020.427901
2.000,450.0,6500.0,2032.816570
2.000,450.0,6600.0,2044.975578
2.000,450.0,6700.0,2056.912656
2.000,450.0,6800.0,2068.635166
2.000,450.0,6900.0,2080.150116
2.000,450.0,7000.0,2091.464187
2.000,450.0,7100.0,2102.583751
2.000,450.0,7200.0,2113.514891
2.000,450.0,7300.0,2124.263415
2.000,450.0,7400.0,2134.834877
2.000,450.0,7500.0,2145.234584
2.000,450.0,7600.0,2155.467618
2.000,450.0,7700.0,2165.538844
2.000,450.0,7800.0,2175.452922
2.000,450.0,7900.0,2185.214321
2.000,450.0,8000.0,2194.827324
2.000,450.0,8100.0,2204.296045
2.000,450.0,8200.0,2213.624431
2.000,450.0,8300.0,2222.816276
2.000,450.0,8400.0,2231.875225
2.000,450.0,8500.0,2240.804782
2.000,450.0,8600.0,2249.608321
2.000,450.0,8700.0,2258.289086
2.000,450.0,8800.0,2266.850203
2.000,450.0,8900.0,2275.294683
2.000,450.0,9000.0,2283.625427
2.000,450.0,9100.0,2291.845233
2.000,450.0,9200.0,2299.956800
2.000,450.0,9300.0,2307.962731
2.000,450.0,9400.0,2315.865539
2.000,450.0,9500.0,2323.667653
2.000,450.0,9600.0,2331.371418
2.000,450.0,9700.0,2338.979098
2.000,450.0,9800.0,2346.492887
2.000,450.0,9900.0,2353.914902
2.000,450.0,10000.0,2361.247193
2.000,450.0,10100.0,2368.491744
2.000,450.0,10200.0,2375.650477
2.000,450.0,10300.0,2382.725250
2.000,450.0,10400.0,2389.717867
2.000,450.0,10500.0,2396.630072
2.000,450.0,10600.0,2403.463557
2.000,450.0,10700.0,2410.219966
2.000,450.0,10800.0,2416.900887
2.000,450.0,10900.0,2423.507867
2.000,450.0,11000.0,2430.042403
2.000,450.0,11100.0,2436.505951
2.000,450.0,11200.0,2442.899922
2.000,450.0,11300.0,2449.225688
2.000,450.0,11400.0,2455.484583
2.000,450.0,11500.0,2461.677902
2.000,450.0,11600.0,2467.806903
2.000,450.0,11700.0,2473.872811
2.000,450.0,11800.0,2479.876815
2.000,450.0,11900.0,2485.820075
2.000,450.0,12000.0,2491.703716
2.000,450.0,12100.0,2497.528835
2.000,450.0,12200.0,2503.296499
2.000,450.0,12300.0,2509.007747
2.000,450.0,12400.0,2514.663592
2.000,450.0,12500.0,2520.265018
2.000,450.0,12600.0,2525.812987
2.000,450.0,12700.0,2531.308433
2.000,450.0,12800.0,2536.752270
2.000,450.0,12900.0,2542.145386
2.000,450.0,13000.0,2547.488649
2.000,450.0,13100.0,2552.782904
2.000,450.0,13200.0,2558.028976
2.000,450.0,13300.0,2563.227670
2.000,450.0,13400.0,2568.379770
2.000,450.0,13500.0,2573.486045
2.000,450.0,13600.0,2578.547241
2.000,450.0,13700.0,2583.564089
2.000,450.0,13800.0,2588.537303
2.000,450.0,13900.0,2593.467580
2.000,450.0,14000.0,2598.355600
2.000,500.0,0.0,640.015706
2.000,500.0,100.0,707.865098
2.000,500.0,200.0,752.341432
2.000,500.0,300.0,789.029712
2.000,500.0,400.0,822.708708
2.000,500.0,500.0,855.317128
2.000,500.0,600.0,887.955433
2.000,500.0,700.0,921.425088
2.000,500.0,800.0,956.440697
2.000,500.0,900.0,993.750341
2.000,500.0,1000.0,1034.238808
2.000,500.0,1100.0,1079.055684
2.000,500.0,1200.0,1129.818033
2.000,500.0,1300.0,1188.985194
2.000,500.0,1400.0,1260.650996
2.000,500.0,1500.0,1346.183929
2.000,500.0,1600.0,1427.024289
2.000,500.0,1700.0,1501.726527
2.000,500.0,1800.0,1571.094226
2.000,500.0,1900.0,1635.786835
2.000,500.0,2000.0,1696.351748
2.000,500.0,2100.0,1753.247989
2.000,500.0,2200.0,1806.864011
2.000,500.0,2300.0,1857.531261
2.000,500.0,2400.0,1905.534667
2.000,500.0,2500.0,1951.120833
2.000,500.0,2600.0,1994.504527
2.000,500.0,2700.0,2035.873855
2.000,500.0,2800.0,2075.394446
2.000,500.0,2900.0,2113.212838
2.000,500.0,3000.0,2149.459272
2.000,500.0,3100.0,2184.249982
2.000,500.0,3200.0,2217.689110
2.000,500.0,3300.0,2249.870304
2.000,500.0,3400.0,2280.878060
2.000,500.0,3500.0,2310.788864
2.000,500.0,3600.0,2339.672155
2.000,500.0,3700.0,2367.591158
2.000,500.0,3800.0,2394.603590
2.000,500.0,3900.0,2420.762273
2.000,500.0,4000.0,2446.115667
2.000,500.0,4100.0,2470.708329
2.000,500.0,4200.0,2494.581315
2.000,500.0,4300.0,2517.772534
2.000,500.0,4400.0,2540.317055
2.000,500.0,4500.0,2562.247382
2.000,500.0,4600.0,2583.593693
2.000,500.0,4700.0,2604.384055
